,repl,subject,pol_orient,cond
265,1,38,0.0,7
266,1,39,5.0,1
267,1,39,5.0,2
268,1,39,5.0,3
269,1,39,5.0,4
270,1,39,5.0,5
271,1,39,5.0,6
272,1,39,5.0,7
273,1,40,45.0,1
274,1,40,45.0,2
275,1,40,45.0,3
276,1,40,45.0,4
277,1,40,45.0,5
278,1,40,45.0,6
279,1,40,45.0,7
280,1,41,7.0,1
281,1,41,7.0,2
282,1,41,7.0,3
283,1,41,7.0,4
284,1,41,7.0,5
285,1,41,7.0,6
286,1,41,7.0,7
287,1,42,18.0,1
288,1,42,18.0,2
289,1,42,18.0,3
290,1,42,18.0,4
291,1,42,18.0,5
292,1,42,18.0,6
293,1,42,18.0,7
294,1,43,51.0,1
295,1,43,51.0,2
296,1,43,51.0,3
297,1,43,51.0,4
298,1,43,51.0,5
299,1,43,51.0,6
300,1,43,51.0,7
301,1,44,84.0,1
302,1,44,84.0,2
303,1,44,84.0,3
304,1,44,84.0,4
305,1,44,84.0,5
306,1,44,84.0,6
307,1,44,84.0,7
308,1,45,1.0,1
309,1,45,1.0,2
310,1,45,1.0,3
311,1,45,1.0,4
312,1,45,1.0,5
313,1,45,1.0,6
314,1,45,1.0,7
315,1,46,50.0,1
316,1,46,50.0,2
317,1,46,50.0,3
318,1,46,50.0,4
319,1,46,50.0,5
320,1,46,50.0,6
321,1,46,50.0,7
322,1,47,68.0,1
323,1,47,68.0,2
324,1,47,68.0,3
325,1,47,68.0,4
326,1,47,68.0,5
327,1,47,68.0,6
328,1,47,68.0,7
329,1,48,62.0,1
330,1,48,62.0,2
331,1,48,62.0,3
332,1,48,62.0,4
333,1,48,62.0,5
334,1,48,62.0,6
335,1,48,62.0,7
336,1,49,73.0,1
337,1,49,73.0,2
338,1,49,73.0,3
339,1,49,73.0,4
340,1,49,73.0,5
341,1,49,73.0,6
342,1,49,73.0,7
343,1,50,95.0,1
344,1,50,95.0,2
345,1,50,95.0,3
346,1,50,95.0,4
347,1,50,95.0,5
348,1,50,95.0,6
349,1,50,95.0,7
350,1,51,67.0,1
351,1,51,67.0,2
352,1,51,67.0,3
353,1,51,67.0,4
354,1,51,67.0,5
355,1,51,67.0,6
356,1,51,67.0,7
357,1,52,45.0,1
358,1,52,45.0,2
359,1,52,45.0,3
360,1,52,45.0,4
361,1,52,45.0,5
362,1,52,45.0,6
363,1,52,45.0,7
364,1,53,24.0,1
365,1,53,24.0,2
366,1,53,24.0,3
367,1,53,24.0,4
368,1,53,24.0,5
369,1,53,24.0,6
370,1,53,24.0,7
371,1,54,78.0,1
372,1,54,78.0,2
373,1,54,78.0,3
374,1,54,78.0,4
375,1,54,78.0,5
376,1,54,78.0,6
377,1,54,78.0,7
378,1,55,68.0,1
379,1,55,68.0,2
380,1,55,68.0,3
381,1,55,68.0,4
382,1,55,68.0,5
383,1,55,68.0,6
384,1,55,68.0,7
385,1,56,50.0,1
386,1,56,50.0,2
387,1,56,50.0,3
388,1,56,50.0,4
389,1,56,50.0,5
390,1,56,50.0,6
391,1,56,50.0,7
392,1,57,82.0,1
393,1,57,82.0,2
394,1,57,82.0,3
395,1,57,82.0,4
396,1,57,82.0,5
397,1,57,82.0,6
398,1,57,82.0,7
399,1,58,78.0,1
400,1,58,78.0,2
401,1,58,78.0,3
402,1,58,78.0,4
403,1,58,78.0,5
404,1,58,78.0,6
405,1,58,78.0,7
406,1,59,71.0,1
407,1,59,71.0,2
408,1,59,71.0,3
409,1,59,71.0,4
410,1,59,71.0,5
411,1,59,71.0,6
412,1,59,71.0,7
413,1,60,17.0,1
414,1,60,17.0,2
415,1,60,17.0,3
416,1,60,17.0,4
417,1,60,17.0,5
418,1,60,17.0,6
419,1,60,17.0,7
420,1,61,28.0,1
421,1,61,28.0,2
422,1,61,28.0,3
423,1,61,28.0,4
424,1,61,28.0,5
425,1,61,28.0,6
426,1,61,28.0,7
